report,source,authored_at,author,status,incident_title,incident_category,important,place_name,notes
"everyone drink Liberia:EllenJohnsonSirleaf Wants to Blackmail CDC: It is now clear that Liberia are going t... http://t.co/STnhoSZh who will last","Twitter 1","2011-11-07 11:02:54",susan_ducan,NULL,NULL,NULL,NULL,NULL,NULL
"Ashton critica el boicot de la oposiciÃƒÂ³n en las elecciones presidenciales de Liberia http://t.co/W2HERoVd","Twitter 1","2011-11-07 14:04:23",elmundoes_inter,NULL,NULL,NULL,NULL,NULL,NULL
"Ashton critica el boicot de la oposiciÃƒÂ³n en las elecciones presidenciales de Liberia:WinstonTubman boicotearÃƒÂ¡ la segun... http://t.co/01bD3nlx","Twitter 1","2011-11-07 14:04:23",Parhouse,NULL,NULL,NULL,NULL,NULL,NULL
"Dear Liberia will you vote tomorrow ?Despite the withdrawal of WinstonTubman #Liberia #elections  http://t.co/8vTNPgkv #Africa","Twitter 1","2011-11-07 12:25:53",BBCAfrica,NULL,NULL,NULL,NULL,NULL,NULL
"#LiberiaElections: Tense standoff between opposition party and police http://t.co/1wBo2s8t #Liberia2011","Twitter 1","2011-11-07 14:06:56",liberiaelection,NULL,NULL,NULL,NULL,NULL,NULL
"Sirleaf Wants to Blackmail CDC: It is now clear that Liberia are going to the runoff polls to... http://t.co/jKThrD2z #africa #liberia","Twitter 1","2011-11-07 08:59:37",AfricanNewsbot,NULL,NULL,NULL,NULL,NULL,NULL
"Sirleaf seen winning Liberia run-off vote http://t.co/1VWHmCkm","Twitter 1","2011-11-07 13:59:25",Newschomper,NULL,NULL,NULL,NULL,NULL,NULL
"ReuWorldEllenJohnsonSirleaf seen winning Liberia run-off vote - MONROVIA (Reuters) - Liberia President EllenJohnsonSirleaf i... http://t.co/R4EBCOQ8","Twitter 1","2011-11-07 13:30:46",gryphon1,NULL,NULL,NULL,NULL,NULL,NULL
"@flumesnotifier 561 | New: 4133 0EllenJohnsonSirleaf OR liberia  President Urges Voters To Ignore Rival's Boycott Plea","Twitter 1","2011-11-07 13:29:15",FlumesNotifier,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia: pour l'UE, le boycottage de la prÃƒÂ©sidentielle ""affaiblit"" la dÃƒÂ©mocratie - Afriquinfos http://t.co/SU3CTaKs","Twitter 1","2011-11-07 11:40:08",AfriquinfosLive,NULL,NULL,NULL,NULL,NULL,NULL
"RT @kenyakate: CDC opposition party beginning to amass for unapproved march on Monrovia. ECOWAS troops and UNMIL tanks standing by. #Lib ...","Twitter 1","2011-11-07 12:19:34",thingsiknow,NULL,NULL,NULL,NULL,NULL,NULL
"Tone Down The Rhetoric http://t.co/7nL0S2DJ #LIBERIA","Twitter 1","2011-11-07 11:07:36",LiberianTimes,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia/prÃƒÂ©sidentielle : rassemblement d'opposants avant une marche ÃƒÂ  Monrovia  http://t.co/Vg91v4WU","Twitter 1","2011-11-07 12:01:15",MawussiTania,NULL,NULL,NULL,NULL,NULL,NULL
"ClÃƒÂ´ture de la campagne ÃƒÂ©lectorale prÃƒÂ©sidentielle au Liberia http://t.co/Vg91v4WU","Twitter 1","2011-11-07 11:11:34",MawussiTania,NULL,NULL,NULL,NULL,NULL,NULL
"Aljazeera: Yvonne Ndege reports from midst of Liberia clashes http://t.co/6pzP6TnM","Twitter 1","2011-11-07 16:50:06",WorldNewsVideos,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia abocada a la segunda ronda de las presidenciales: 07 de noviembre de 2011,   08:59Monrovia 7 nov (PL) Li... http://t.co/wgNgagoV","Twitter 1","2011-11-07 13:01:57",jlooco,NULL,NULL,NULL,NULL,NULL,NULL
"#maxwell_lucas: Liberia - Travel News - Riot breaks out in Liberia day before vote http://t.co/2SMPorsZ","Twitter 1","2011-11-07 16:52:01",meta_guide_lr,NULL,NULL,NULL,NULL,NULL,NULL
"Ã¢â‚¬ËœMinstens een dode bij protesten oppositie LiberiaÃ¢â‚¬â„¢: Bij botsingenÃ¢â‚¬Â¦ http://t.co/eTp5f9Pp Ã¢â€“Â¸ #Veilig #Nederland","Twitter 1","2011-11-07 16:55:46",VeiligNL,NULL,NULL,NULL,NULL,NULL,NULL
"Would You Please Donate ONE Pair Of Shoes For A Child In Liberia Who Have Never Owned Their Own? http://t.co/7fIhtSXl","Twitter 1","2011-11-07 13:41:19",WORLDOFMONEYORG,NULL,NULL,NULL,NULL,NULL,NULL
"RT @mcnealious: #Liberia pickups filled with CDCians supporters shouting ""we're not voting, we're not running campaign""...","Twitter 1","2011-11-07 13:42:37",CKollie,NULL,NULL,NULL,NULL,NULL,NULL
"you know it's time for bed when your colleagues in Liberia & Ghana are up and about texting & skyping you...","Twitter 1","2011-11-07 09:32:20",sarankjones,NULL,NULL,NULL,NULL,NULL,NULL
"ECOWAS statement on the eve of the 8 November presidential run-off election in Liberia - http://t.co/4ZNDmHHk","Twitter 1","2011-11-07 08:59:08",SpyghanaCom,NULL,NULL,NULL,NULL,NULL,NULL
"#INT GUA Liberia presidential election is thrown into chaos by opposition's boycott call http://t.co/nbuUYEde","Twitter 1","2011-11-07 07:44:03",CurroTroya,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia abocada a la segunda ronda de las presidenciales: 07 de noviembre de 2011,   08:59Monrovia 7 nov (PL) Li... http://t.co/OhXJpGFr","Twitter 1","2011-11-07 13:01:37",omarcrivas,NULL,NULL,NULL,NULL,NULL,NULL
"Congress for Democratic Change Boycotts Liberia's Presidential Run-Off Election http://t.co/veP3Afba","Twitter 1","2011-11-07 12:08:54",minafabulous,NULL,NULL,NULL,NULL,NULL,NULL
"US state Department condemns CDC election boycott http://t.co/2RKK46rn #Liberia","Twitter 1","2011-11-07 12:18:27",ushahidiliberia,NULL,NULL,NULL,NULL,NULL,NULL
"http://t.co/frtkFDWi Liberia: YES Commemorates UN Day With Essay, Art Competition - http://t.co/hsMU7JKR","Twitter 1","2011-11-07 11:55:19",tristorretoken,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia inicia su jornada de reflexiÃƒÂ³n ante polÃƒÂ©mica segunda ronda electoral -... http://t.co/Duqvt4LY","Twitter 1","2011-11-07 11:13:14",QuiNews1,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia abocada a la segunda ronda de las presidenciales: 07 de noviembre de 2011,   08:59Monrovia 7 nov (PL) Li... http://t.co/4COzBDEI","Twitter 1","2011-11-07 13:01:40",nieker,NULL,NULL,NULL,NULL,NULL,NULL
"LiberiaÃ¢â‚¬â„¢s Runoff Overshadowed by Uncertainty as Opposition Decides to Boycott http://t.co/EgAqu52u","Twitter 1","2011-11-07 07:17:59",andrewsegawa,NULL,NULL,NULL,NULL,NULL,NULL
"Le #Liberia qui dÃƒÂ©cide d'exÃƒÂ©cuter des numÃƒÂ©ros de haute voltige si prÃƒÂ¨s du prÃƒÂ©cipice. G ne puis m'empÃƒÂªcher d'avoir peur pr ma #civ2010 chÃƒÂ©rie","Twitter 1","2011-11-07 10:50:04",Altesse77,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia challenger warns of turmoil unless poll delayed  http://t.co/85CQitOd","Twitter 1","2011-11-07 11:27:10",africantalk,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia: Halt  November 8th Kangaroo Election, Ex-TRC Chairman Urges Senate: http://t.co/6GE7KLjl","Twitter 1","2011-11-07 11:51:55",diasporaitv,NULL,NULL,NULL,NULL,NULL,NULL
"RT @itsjina: New: Violence erupts on eve of #Liberia elections (breaking w/ field reporting & aggregation) http://t.co/nLFyGl67","Twitter 1","2011-11-07 16:47:14",AIPRny,NULL,NULL,NULL,NULL,NULL,NULL
"Statement by the spokesperson of the High Representative Catherine Ashton on Liberia.http://is.gd/CXBDR0","Twitter 1","2011-11-07 09:17:37",apo_source,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Presidential Campaign Ends, Opposition Boycotting Vote http://t.co/BTCHgfu5","Twitter 1","2011-11-07 09:23:24",Dweeb1,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia: Au moins un mort dans une manifestation Ã¢â‚¬Å½de l'opposition - http://t.co/KbPknQwV","Twitter 1","2011-11-07 17:11:13",connectionivoir,NULL,NULL,NULL,NULL,NULL,NULL
"Civic Action: We need hospitals in Yekepa Nimba and other counties in Liberia: Many Liberia families,... http://t.co/XSHChhRO #Petition","Twitter 1","2011-11-07 11:56:58",civicdirect,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia:All Must Commit to Peace - http://t.co/k7HtyYD2","Twitter 1","2011-11-07 09:31:37",portaltoafrica,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia: U.S. Declares Boycott Violence 'Unacceptable': The US Government has declared Congress for Democratic C... http://t.co/Q2WuXg9c","Twitter 1","2011-11-07 12:33:52",CameroonTV,NULL,NULL,NULL,NULL,NULL,NULL
"#Amazon #Deals: FlaggenfritzeÃ‚Â® Tischflagge Liberia 10x15 cm http://t.co/1KHBcwvv","Twitter 1","2011-11-07 07:40:30",AmzonDeDeals,NULL,NULL,NULL,NULL,NULL,NULL
"Sirleaf seen winning Liberia run-off vote      (Reuters)  http://t.co/S2BZLUP4  #Africa #Africa","Twitter 1","2011-11-07 16:52:15",CyG_Africa,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia police, opposition exchange gunfire http://t.co/mlktWaKG","Twitter 1","2011-11-07 16:59:29",olarewaju268,NULL,NULL,NULL,NULL,NULL,NULL
